ifct_code,name,nutrients_count,source_table
D034,"Capsicum, red (Capsicum annuum)",9,Proximate Principles and Dietary Fiber
D035,"Capsicum, yellow (Capsicum annuum)",9,Proximate Principles and Dietary Fiber
D036,Cauliflower (Brassica oleracea),9,Proximate Principles and Dietary Fiber
D037,Celery stalk (Apium graveolens),9,Proximate Principles and Dietary Fiber
D038,Cho-cho-marrow (Sechium edule),9,Proximate Principles and Dietary Fiber
D039,Cluster beans (Cyamopsis tetragonobola),9,Proximate Principles and Dietary Fiber
D040,"Colocasia, stem, black (Colocasia antiquorum)",9,Proximate Principles and Dietary Fiber
D041,"Colocasia, stem, green (Colocasia antiquorum)",9,Proximate Principles and Dietary Fiber
D042,"Corn, Baby(Zea mays)",9,Proximate Principles and Dietary Fiber
D043,"Cucumber, green, elongate(Cucumis sativus)",9,Proximate Principles and Dietary Fiber
D044,"Cucumber, green, short (Cucumis sativus)",9,Proximate Principles and Dietary Fiber
D045,"Cucumber, orange, round (Cucumis sativus)",9,Proximate Principles and Dietary Fiber
D046,Drumstick (Moringa oleifera),9,Proximate Principles and Dietary Fiber
D047,"Field beans, tender, broad (Vicia faba)",9,Proximate Principles and Dietary Fiber
D048,"Field beans, tender, lean (Vicia faba)",9,Proximate Principles and Dietary Fiber
D049,"French beans, country (Phaseolus vulgaris)",9,Proximate Principles and Dietary Fiber
D050,"French beans, hybrid (Phaseolus vulgaris)",9,Proximate Principles and Dietary Fiber
D051,"Jack fruit, raw (Artocarpus heterophyllus)",9,Proximate Principles and Dietary Fiber
D053,Knol - Khol (Brassica oleracea),9,Proximate Principles and Dietary Fiber
D054,"Kovai, big (Coccinia cordifolia)",9,Proximate Principles and Dietary Fiber
