ifct_code,alias,language,normalized_alias
A011,chawal,hi,chawal
A012,chawal,hi,chawal
A013,chawal,hi,chawal
A014,chawal,hi,chawal
A015,chawal,hi,chawal
A019,chawal,hi,chawal
B014,chawal,hi,chawal
B023,chawal,hi,chawal
C008,chawal,hi,chawal
C028,chawal,hi,chawal
D012,chawal,hi,chawal
D033,chawal,hi,chawal
D053,chawal,hi,chawal
D074,chawal,hi,chawal
E015,chawal,hi,chawal
E035,chawal,hi,chawal
E056,chawal,hi,chawal
F008,chawal,hi,chawal
H001,chawal,hi,chawal
H012,chawal,hi,chawal
K001,chawal,hi,chawal
T008,chawal,hi,chawal
A011,chaval,hi,chaval
A012,chaval,hi,chaval
A013,chaval,hi,chaval
A014,chaval,hi,chaval
A015,chaval,hi,chaval
A019,chaval,hi,chaval
B014,chaval,hi,chaval
B023,chaval,hi,chaval
C008,chaval,hi,chaval
C028,chaval,hi,chaval
D012,chaval,hi,chaval
D033,chaval,hi,chaval
D053,chaval,hi,chaval
D074,chaval,hi,chaval
E015,chaval,hi,chaval
E035,chaval,hi,chaval
E056,chaval,hi,chaval
F008,chaval,hi,chaval
H001,chaval,hi,chaval
H012,chaval,hi,chaval
K001,chaval,hi,chaval
T008,chaval,hi,chaval
A018,atta,hi,atta
A019,atta,hi,atta
A018,gehun ka atta,hi,gehun ka atta
A019,gehun ka atta,hi,gehun ka atta
B010,moong,hi,moong
B011,moong,hi,moong
B010,moong dal,hi,moong dal
B011,moong dal,hi,moong dal
C033,palak,hi,palak
L001,doodh,hi,doodh
L002,doodh,hi,doodh
P037,doodh,hi,doodh
L001,dudh,hi,dudh
L002,dudh,hi,dudh
P037,dudh,hi,dudh
A018,roti,hi,roti
A019,roti,hi,roti
A020,roti,hi,roti
A021,roti,hi,roti
A022,roti,hi,roti
A023,roti,hi,roti
A024,roti,hi,roti
B001,chana,hi,chana
B002,chana,hi,chana
